time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.028,0.899,0.073,0.167863
1000,0.043,0.706,0.251,0.361802
1500,0.052,0.609,0.339,0.402142
2000,0.067,0.474,0.459,0.400569
2500,0.095,0.318,0.587,0.393060
3000,0.138,0.229,0.633,0.390930
3500,0.147,0.174,0.679,0.381571
4000,0.125,0.171,0.703,0.354528
4500,0.180,0.128,0.691,0.361714
5000,0.226,0.125,0.648,0.404058
5500,0.214,0.147,0.639,0.430956
6000,0.199,0.107,0.694,0.382589
6500,0.220,0.104,0.676,0.377165
7000,0.174,0.092,0.734,0.328856
7500,0.141,0.138,0.722,0.347664
8000,0.135,0.110,0.755,0.299083
8500,0.174,0.138,0.688,0.372868
9000,0.199,0.107,0.694,0.352811
9500,0.208,0.138,0.654,0.404834
10000,0.187,0.122,0.691,0.392038
10500,0.183,0.107,0.709,0.355067
11000,0.153,0.131,0.716,0.350739
11500,0.116,0.205,0.679,0.357934
12000,0.165,0.205,0.630,0.401701
12500,0.144,0.177,0.679,0.393080
13000,0.144,0.159,0.697,0.385438
13500,0.138,0.150,0.713,0.347543
14000,0.165,0.122,0.713,0.359996
14500,0.208,0.092,0.700,0.360757
15000,0.263,0.076,0.661,0.385278
15500,0.229,0.086,0.685,0.362617
16000,0.196,0.141,0.664,0.410812
16500,0.202,0.119,0.679,0.386222
17000,0.266,0.070,0.664,0.376797
17500,0.220,0.061,0.719,0.356355
18000,0.162,0.098,0.740,0.348145
18500,0.180,0.128,0.691,0.396766
19000,0.144,0.116,0.740,0.334221
19500,0.208,0.144,0.648,0.430381
20000,0.138,0.153,0.709,0.369774
20500,0.239,0.125,0.636,0.426106
21000,0.229,0.098,0.673,0.393221
21500,0.199,0.089,0.713,0.357554
22000,0.211,0.125,0.664,0.391815
22500,0.208,0.089,0.703,0.358455
23000,0.190,0.144,0.667,0.381789
23500,0.220,0.080,0.700,0.375808
24000,0.180,0.086,0.734,0.339762
24500,0.187,0.141,0.673,0.381585
25000,0.226,0.098,0.676,0.376758
25500,0.174,0.135,0.691,0.355296
26000,0.202,0.098,0.700,0.362322
26500,0.208,0.095,0.697,0.353746
27000,0.202,0.098,0.700,0.364664
27500,0.217,0.119,0.664,0.396245
28000,0.183,0.122,0.694,0.375456
28500,0.171,0.138,0.691,0.379332
29000,0.174,0.083,0.743,0.351372
29500,0.174,0.067,0.758,0.318568
30000,0.183,0.064,0.752,0.321669
30500,0.162,0.113,0.725,0.348708
31000,0.171,0.095,0.734,0.343685
31500,0.135,0.135,0.731,0.329243
32000,0.202,0.101,0.697,0.369320
32500,0.199,0.107,0.694,0.367794
33000,0.217,0.107,0.676,0.383128
33500,0.159,0.107,0.734,0.313904
34000,0.196,0.122,0.682,0.400736
34500,0.187,0.122,0.691,0.377355
35000,0.156,0.107,0.737,0.356967
35500,0.159,0.125,0.716,0.373446
36000,0.156,0.131,0.713,0.359982
36500,0.183,0.144,0.673,0.400545
37000,0.159,0.116,0.725,0.350022
37500,0.150,0.125,0.725,0.352041
38000,0.177,0.113,0.709,0.352806
38500,0.144,0.144,0.713,0.358307
39000,0.180,0.165,0.654,0.403187
39500,0.156,0.187,0.657,0.410604
40000,0.162,0.138,0.700,0.345799
40500,0.153,0.174,0.673,0.377194
41000,0.159,0.205,0.636,0.402303
41500,0.180,0.141,0.679,0.355760
42000,0.235,0.110,0.654,0.385071
42500,0.223,0.080,0.697,0.353402
43000,0.199,0.092,0.709,0.353563
43500,0.208,0.070,0.722,0.332381
44000,0.187,0.080,0.734,0.328835
44500,0.168,0.144,0.688,0.379660
45000,0.180,0.144,0.676,0.406248
45500,0.196,0.104,0.700,0.359814
46000,0.168,0.064,0.768,0.277422
46500,0.141,0.116,0.743,0.326850
47000,0.187,0.171,0.642,0.398766
47500,0.174,0.138,0.688,0.366041
48000,0.205,0.125,0.670,0.379673
48500,0.171,0.150,0.679,0.380138
49000,0.177,0.135,0.688,0.374080
49500,0.211,0.116,0.673,0.406266
50000,0.205,0.135,0.661,0.399225
50500,0.162,0.138,0.700,0.380511
51000,0.138,0.107,0.755,0.329533
51500,0.174,0.135,0.691,0.384973
52000,0.141,0.125,0.734,0.338580
52500,0.187,0.080,0.734,0.350962
53000,0.217,0.070,0.713,0.363459
53500,0.193,0.073,0.734,0.341703
54000,0.187,0.138,0.676,0.404984
54500,0.150,0.113,0.737,0.353309
55000,0.110,0.177,0.713,0.375039
55500,0.153,0.168,0.679,0.367973
56000,0.144,0.144,0.713,0.357930
56500,0.147,0.174,0.679,0.384141
57000,0.174,0.141,0.685,0.379448
57500,0.174,0.131,0.694,0.386244
58000,0.153,0.098,0.749,0.312449
58500,0.128,0.159,0.713,0.374457
59000,0.165,0.135,0.700,0.365664
59500,0.199,0.144,0.657,0.408435
60000,0.147,0.150,0.703,0.362617
60500,0.113,0.183,0.703,0.362393
61000,0.138,0.147,0.716,0.374580
61500,0.156,0.125,0.719,0.344821
62000,0.190,0.076,0.734,0.333208
62500,0.214,0.092,0.694,0.386346
63000,0.217,0.107,0.676,0.388016
63500,0.156,0.116,0.728,0.346594
64000,0.128,0.131,0.740,0.334973
64500,0.159,0.122,0.719,0.376697
65000,0.141,0.116,0.743,0.335476
65500,0.147,0.144,0.709,0.358347
66000,0.107,0.159,0.734,0.340794
66500,0.128,0.122,0.749,0.321728
67000,0.144,0.089,0.768,0.300866
67500,0.168,0.107,0.725,0.358355
68000,0.131,0.153,0.716,0.377222
68500,0.165,0.135,0.700,0.371855
69000,0.162,0.110,0.728,0.332757
69500,0.187,0.128,0.685,0.386479
70000,0.174,0.135,0.691,0.368902
70500,0.223,0.128,0.648,0.408087
71000,0.180,0.125,0.694,0.363188
71500,0.177,0.110,0.713,0.360939
72000,0.196,0.119,0.685,0.397524
72500,0.202,0.073,0.725,0.336671
73000,0.156,0.113,0.731,0.340745
73500,0.168,0.119,0.713,0.379022
74000,0.144,0.104,0.752,0.301243
74500,0.168,0.110,0.722,0.342900
75000,0.119,0.107,0.774,0.298519
75500,0.183,0.058,0.758,0.325373
76000,0.193,0.104,0.703,0.392048
76500,0.202,0.144,0.654,0.414260
77000,0.156,0.083,0.761,0.301999
77500,0.205,0.067,0.728,0.340452
78000,0.193,0.110,0.697,0.392255
78500,0.196,0.095,0.709,0.366863
