time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.030,0.965,0.005,0.038728
1000,0.033,0.961,0.006,0.042610
1500,0.032,0.960,0.008,0.049579
2000,0.033,0.959,0.008,0.051449
2500,0.032,0.959,0.009,0.061853
3000,0.032,0.958,0.010,0.045902
3500,0.031,0.958,0.011,0.050255
4000,0.033,0.955,0.012,0.053107
4500,0.033,0.953,0.014,0.064297
5000,0.033,0.956,0.011,0.042727
5500,0.035,0.943,0.022,0.092572
6000,0.040,0.945,0.015,0.071287
6500,0.036,0.944,0.020,0.076427
7000,0.033,0.945,0.022,0.059187
7500,0.035,0.943,0.022,0.065599
8000,0.034,0.945,0.021,0.050815
8500,0.035,0.949,0.016,0.046548
9000,0.033,0.954,0.013,0.035323
9500,0.033,0.955,0.012,0.036324
10000,0.033,0.953,0.014,0.041696
10500,0.033,0.945,0.022,0.072889
11000,0.037,0.946,0.017,0.055027
11500,0.034,0.951,0.015,0.059092
12000,0.046,0.945,0.009,0.079470
12500,0.039,0.942,0.019,0.080877
13000,0.059,0.924,0.016,0.124069
13500,0.048,0.930,0.022,0.103566
14000,0.053,0.912,0.035,0.122539
14500,0.046,0.922,0.032,0.095570
15000,0.058,0.914,0.028,0.116910
15500,0.069,0.900,0.031,0.126611
16000,0.087,0.880,0.033,0.138579
16500,0.091,0.851,0.058,0.197645
17000,0.088,0.865,0.047,0.177077
17500,0.075,0.870,0.055,0.167109
18000,0.060,0.897,0.043,0.093842
18500,0.055,0.903,0.042,0.098355
19000,0.049,0.915,0.036,0.086338
19500,0.044,0.927,0.029,0.061516
20000,0.041,0.924,0.035,0.079992
20500,0.041,0.936,0.023,0.045352
21000,0.037,0.938,0.026,0.045175
21500,0.036,0.937,0.028,0.066118
22000,0.035,0.938,0.028,0.056401
22500,0.036,0.943,0.021,0.057597
23000,0.037,0.938,0.026,0.095935
23500,0.036,0.944,0.020,0.046061
24000,0.042,0.930,0.029,0.106602
24500,0.041,0.933,0.027,0.096081
25000,0.042,0.950,0.008,0.046704
25500,0.038,0.950,0.012,0.043276
26000,0.059,0.916,0.025,0.078355
26500,0.057,0.923,0.019,0.066777
27000,0.049,0.919,0.032,0.094938
27500,0.046,0.928,0.026,0.076738
28000,0.054,0.915,0.031,0.101310
28500,0.051,0.917,0.032,0.108950
29000,0.056,0.906,0.038,0.160305
29500,0.056,0.906,0.038,0.097736
30000,0.059,0.904,0.037,0.105486
30500,0.057,0.916,0.027,0.074083
31000,0.047,0.927,0.026,0.066140
31500,0.049,0.926,0.025,0.061971
32000,0.046,0.928,0.026,0.072829
32500,0.048,0.926,0.026,0.075679
33000,0.043,0.930,0.028,0.073640
33500,0.041,0.917,0.042,0.081218
34000,0.058,0.917,0.025,0.081986
34500,0.056,0.921,0.022,0.081693
35000,0.062,0.914,0.023,0.080148
35500,0.053,0.916,0.031,0.087735
36000,0.070,0.903,0.027,0.110968
36500,0.073,0.889,0.039,0.124997
37000,0.073,0.889,0.039,0.141122
37500,0.073,0.901,0.027,0.097247
38000,0.076,0.884,0.041,0.137351
38500,0.069,0.878,0.052,0.154143
39000,0.070,0.872,0.057,0.139435
39500,0.068,0.882,0.050,0.134655
40000,0.064,0.903,0.033,0.084739
40500,0.070,0.892,0.038,0.116698
41000,0.068,0.899,0.033,0.122398
41500,0.072,0.901,0.028,0.120120
42000,0.077,0.899,0.025,0.099445
42500,0.072,0.907,0.021,0.098887
43000,0.075,0.901,0.025,0.107748
43500,0.081,0.883,0.037,0.146709
44000,0.073,0.890,0.038,0.152645
44500,0.069,0.888,0.043,0.111820
45000,0.079,0.878,0.043,0.138502
45500,0.068,0.890,0.042,0.117503
46000,0.067,0.883,0.050,0.115943
46500,0.061,0.895,0.044,0.110108
47000,0.061,0.900,0.039,0.116771
47500,0.065,0.901,0.034,0.090474
48000,0.065,0.905,0.030,0.089120
48500,0.063,0.901,0.036,0.103653
49000,0.058,0.907,0.035,0.075213
49500,0.065,0.906,0.029,0.070814
50000,0.087,0.875,0.038,0.158807
50500,0.104,0.847,0.049,0.170287
51000,0.096,0.859,0.045,0.176462
51500,0.084,0.872,0.044,0.089535
52000,0.097,0.856,0.047,0.156138
52500,0.096,0.855,0.049,0.174715
53000,0.084,0.862,0.054,0.136074
53500,0.104,0.845,0.051,0.167024
54000,0.096,0.847,0.057,0.130339
54500,0.093,0.858,0.049,0.101475
55000,0.096,0.852,0.052,0.120565
55500,0.093,0.859,0.048,0.140520
56000,0.081,0.874,0.045,0.086047
56500,0.079,0.870,0.051,0.089915
57000,0.081,0.871,0.048,0.115678
57500,0.069,0.887,0.044,0.090306
58000,0.069,0.897,0.034,0.058118
58500,0.084,0.882,0.035,0.092004
59000,0.074,0.875,0.051,0.119438
59500,0.067,0.887,0.046,0.106502
60000,0.076,0.884,0.041,0.124676
60500,0.066,0.877,0.056,0.125850
61000,0.101,0.845,0.054,0.178741
61500,0.090,0.860,0.050,0.109687
62000,0.096,0.852,0.052,0.170001
62500,0.084,0.866,0.050,0.116500
63000,0.077,0.880,0.043,0.092377
63500,0.069,0.895,0.036,0.074650
64000,0.062,0.902,0.036,0.079753
64500,0.058,0.904,0.038,0.077157
65000,0.056,0.911,0.033,0.051125
