time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.028,0.931,0.041,0.104004
1000,0.037,0.926,0.037,0.105806
1500,0.041,0.935,0.023,0.088596
2000,0.037,0.917,0.046,0.119005
2500,0.037,0.917,0.046,0.103683
3000,0.032,0.949,0.018,0.067615
3500,0.032,0.931,0.037,0.097522
4000,0.046,0.917,0.037,0.122073
4500,0.055,0.903,0.041,0.134066
5000,0.037,0.935,0.028,0.090808
5500,0.051,0.912,0.037,0.119938
6000,0.032,0.912,0.055,0.122593
6500,0.028,0.963,0.009,0.057582
7000,0.032,0.954,0.014,0.064480
7500,0.028,0.931,0.041,0.098440
8000,0.028,0.949,0.023,0.081367
8500,0.028,0.954,0.018,0.069917
9000,0.037,0.903,0.060,0.151940
9500,0.028,0.935,0.037,0.092327
10000,0.051,0.917,0.032,0.106399
10500,0.065,0.894,0.041,0.149693
11000,0.069,0.857,0.074,0.204413
11500,0.065,0.802,0.134,0.260411
12000,0.037,0.903,0.060,0.123499
12500,0.055,0.889,0.055,0.151487
13000,0.032,0.903,0.065,0.120203
13500,0.037,0.931,0.032,0.087421
14000,0.046,0.922,0.032,0.102028
14500,0.028,0.912,0.060,0.131419
15000,0.032,0.954,0.014,0.064485
15500,0.028,0.954,0.018,0.058458
16000,0.046,0.912,0.041,0.130073
16500,0.037,0.940,0.023,0.085412
17000,0.037,0.935,0.028,0.081762
17500,0.028,0.945,0.028,0.088873
18000,0.032,0.940,0.028,0.087664
18500,0.037,0.922,0.041,0.101759
19000,0.032,0.940,0.028,0.093529
19500,0.041,0.935,0.023,0.088005
20000,0.032,0.954,0.014,0.059810
20500,0.032,0.945,0.023,0.076906
21000,0.028,0.963,0.009,0.055168
21500,0.028,0.963,0.009,0.054171
22000,0.028,0.949,0.023,0.073919
22500,0.037,0.954,0.009,0.064961
23000,0.028,0.940,0.032,0.086290
23500,0.028,0.949,0.023,0.070673
24000,0.032,0.912,0.055,0.137877
24500,0.032,0.912,0.055,0.111291
25000,0.041,0.935,0.023,0.092360
25500,0.037,0.926,0.037,0.102377
26000,0.028,0.954,0.018,0.060362
26500,0.032,0.931,0.037,0.100927
27000,0.032,0.949,0.018,0.070998
27500,0.032,0.926,0.041,0.096699
28000,0.055,0.889,0.055,0.160247
28500,0.041,0.871,0.088,0.181569
29000,0.028,0.949,0.023,0.079318
29500,0.032,0.954,0.014,0.059925
30000,0.028,0.931,0.041,0.092161
30500,0.028,0.963,0.009,0.059680
31000,0.032,0.931,0.037,0.101435
31500,0.032,0.931,0.037,0.098422
32000,0.032,0.949,0.018,0.074386
32500,0.028,0.954,0.018,0.067227
33000,0.032,0.908,0.060,0.136221
33500,0.041,0.894,0.065,0.151365
34000,0.051,0.917,0.032,0.121101
34500,0.032,0.926,0.041,0.096629
35000,0.028,0.926,0.046,0.108864
35500,0.037,0.945,0.018,0.072202
36000,0.037,0.959,0.005,0.060392
36500,0.037,0.935,0.028,0.084822
37000,0.032,0.940,0.028,0.091525
37500,0.028,0.949,0.023,0.067958
38000,0.028,0.959,0.014,0.063476
38500,0.028,0.945,0.028,0.080926
39000,0.032,0.954,0.014,0.068907
39500,0.028,0.959,0.014,0.056978
40000,0.046,0.922,0.032,0.122271
