time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.032,0.959,0.009,0.050815
1000,0.028,0.959,0.014,0.056852
1500,0.028,0.931,0.041,0.088908
2000,0.032,0.959,0.009,0.047486
2500,0.028,0.945,0.028,0.065782
3000,0.028,0.959,0.014,0.043331
3500,0.028,0.949,0.023,0.067235
4000,0.028,0.954,0.018,0.056437
4500,0.028,0.959,0.014,0.044893
5000,0.028,0.949,0.023,0.059241
5500,0.032,0.940,0.028,0.082944
6000,0.032,0.945,0.023,0.068039
6500,0.032,0.912,0.055,0.116279
7000,0.037,0.940,0.023,0.062083
7500,0.032,0.935,0.032,0.080562
8000,0.028,0.949,0.023,0.055516
8500,0.028,0.963,0.009,0.042193
9000,0.028,0.931,0.041,0.100091
9500,0.028,0.903,0.069,0.138152
10000,0.028,0.931,0.041,0.092969
10500,0.032,0.935,0.032,0.080631
11000,0.028,0.922,0.051,0.099438
11500,0.032,0.935,0.032,0.064543
12000,0.032,0.908,0.060,0.124450
12500,0.032,0.940,0.028,0.062467
13000,0.032,0.922,0.046,0.103330
13500,0.037,0.945,0.018,0.070461
14000,0.037,0.922,0.041,0.109807
14500,0.028,0.949,0.023,0.069687
15000,0.028,0.935,0.037,0.082131
15500,0.028,0.963,0.009,0.049590
16000,0.028,0.959,0.014,0.050416
16500,0.028,0.959,0.014,0.049029
17000,0.028,0.949,0.023,0.063696
17500,0.028,0.954,0.018,0.050044
18000,0.037,0.949,0.014,0.069788
18500,0.032,0.922,0.046,0.112047
19000,0.028,0.945,0.028,0.082311
19500,0.028,0.954,0.018,0.062197
20000,0.028,0.931,0.041,0.087098
20500,0.032,0.926,0.041,0.088672
21000,0.032,0.949,0.018,0.058983
21500,0.055,0.899,0.046,0.128170
22000,0.032,0.899,0.069,0.114134
22500,0.028,0.899,0.074,0.125407
23000,0.032,0.922,0.046,0.099754
23500,0.028,0.949,0.023,0.061901
24000,0.028,0.908,0.065,0.112135
24500,0.028,0.940,0.032,0.064954
25000,0.028,0.931,0.041,0.090753
25500,0.028,0.959,0.014,0.044456
26000,0.028,0.945,0.028,0.061042
26500,0.028,0.954,0.018,0.051266
27000,0.032,0.922,0.046,0.109465
27500,0.028,0.954,0.018,0.063183
28000,0.028,0.954,0.018,0.058826
28500,0.028,0.940,0.032,0.075242
29000,0.032,0.954,0.014,0.057172
29500,0.028,0.912,0.060,0.105853
30000,0.028,0.945,0.028,0.068414
30500,0.028,0.949,0.023,0.058691
31000,0.028,0.945,0.028,0.074907
31500,0.028,0.940,0.032,0.069187
32000,0.028,0.954,0.018,0.051884
32500,0.028,0.935,0.037,0.066931
33000,0.028,0.949,0.023,0.067699
33500,0.028,0.935,0.037,0.076891
34000,0.028,0.949,0.023,0.066158
34500,0.028,0.945,0.028,0.076207
35000,0.028,0.931,0.041,0.088452
35500,0.028,0.968,0.005,0.035952
36000,0.032,0.945,0.023,0.073422
36500,0.037,0.935,0.028,0.083010
37000,0.028,0.935,0.037,0.088581
37500,0.032,0.926,0.041,0.095301
38000,0.051,0.912,0.037,0.095835
38500,0.037,0.935,0.028,0.080022
39000,0.032,0.922,0.046,0.096199
39500,0.028,0.876,0.097,0.160132
40000,0.028,0.959,0.014,0.043797
40500,0.028,0.945,0.028,0.075953
41000,0.028,0.922,0.051,0.093519
41500,0.037,0.931,0.032,0.081372
42000,0.037,0.940,0.023,0.067302
42500,0.032,0.940,0.028,0.075362
43000,0.028,0.922,0.051,0.111760
43500,0.028,0.917,0.055,0.095671
44000,0.032,0.917,0.051,0.100773
44500,0.028,0.922,0.051,0.096218
45000,0.032,0.945,0.023,0.054767
45500,0.028,0.954,0.018,0.062812
46000,0.028,0.940,0.032,0.065992
46500,0.028,0.940,0.032,0.072111
47000,0.028,0.935,0.037,0.086576
47500,0.037,0.894,0.069,0.130489
48000,0.032,0.917,0.051,0.105040
48500,0.028,0.954,0.018,0.050791
49000,0.028,0.949,0.023,0.074538
49500,0.028,0.949,0.023,0.068195
50000,0.028,0.949,0.023,0.059881
50500,0.028,0.968,0.005,0.042443
51000,0.028,0.945,0.028,0.067516
51500,0.028,0.954,0.018,0.057963
52000,0.032,0.931,0.037,0.096764
52500,0.028,0.949,0.023,0.079931
53000,0.028,0.945,0.028,0.061116
53500,0.032,0.880,0.088,0.150573
54000,0.032,0.908,0.060,0.108856
54500,0.041,0.912,0.046,0.116664
55000,0.037,0.945,0.018,0.061420
55500,0.028,0.945,0.028,0.087591
56000,0.028,0.963,0.009,0.046940
56500,0.028,0.945,0.028,0.066205
57000,0.028,0.926,0.046,0.074405
57500,0.037,0.935,0.028,0.078624
58000,0.032,0.940,0.028,0.074190
58500,0.028,0.935,0.037,0.073893
59000,0.028,0.922,0.051,0.107045
59500,0.032,0.931,0.037,0.086736
60000,0.028,0.954,0.018,0.061573
60500,0.032,0.935,0.032,0.070399
61000,0.028,0.940,0.032,0.075888
61500,0.028,0.945,0.028,0.064035
62000,0.028,0.945,0.028,0.081628
62500,0.028,0.959,0.014,0.058281
63000,0.028,0.940,0.032,0.081567
63500,0.028,0.949,0.023,0.058867
64000,0.028,0.940,0.032,0.081961
64500,0.028,0.926,0.046,0.077969
65000,0.032,0.931,0.037,0.089220
65500,0.028,0.935,0.037,0.069009
66000,0.032,0.940,0.028,0.080697
66500,0.028,0.945,0.028,0.074780
67000,0.028,0.954,0.018,0.055213
67500,0.028,0.931,0.041,0.093027
68000,0.028,0.945,0.028,0.081511
68500,0.028,0.949,0.023,0.058293
69000,0.028,0.949,0.023,0.060222
69500,0.028,0.935,0.037,0.078270
70000,0.028,0.945,0.028,0.072742
70500,0.032,0.949,0.018,0.064985
71000,0.032,0.922,0.046,0.108320
71500,0.032,0.945,0.023,0.066168
72000,0.032,0.926,0.041,0.091335
72500,0.032,0.926,0.041,0.094868
73000,0.028,0.945,0.028,0.065418
73500,0.028,0.940,0.032,0.068498
74000,0.041,0.889,0.069,0.132199
74500,0.028,0.935,0.037,0.085423
75000,0.028,0.959,0.014,0.053287
75500,0.028,0.945,0.028,0.078761
76000,0.032,0.940,0.028,0.065871
76500,0.028,0.922,0.051,0.092906
77000,0.032,0.903,0.065,0.126579
77500,0.028,0.949,0.023,0.066030
78000,0.032,0.922,0.046,0.120388
78500,0.028,0.959,0.014,0.046812
79000,0.028,0.963,0.009,0.045515
79500,0.028,0.935,0.037,0.085469
80000,0.028,0.949,0.023,0.064565
80500,0.032,0.963,0.005,0.051491
81000,0.028,0.963,0.009,0.044129
81500,0.028,0.945,0.028,0.083098
82000,0.028,0.949,0.023,0.067960
82500,0.028,0.945,0.028,0.058040
83000,0.037,0.889,0.074,0.135073
83500,0.037,0.903,0.060,0.111344
84000,0.028,0.940,0.032,0.061274
84500,0.032,0.963,0.005,0.038059
85000,0.032,0.968,0.000,0.034051
85500,0.032,0.945,0.023,0.070560
86000,0.037,0.949,0.014,0.059135
86500,0.028,0.959,0.014,0.051148
87000,0.032,0.940,0.028,0.072886
87500,0.037,0.922,0.041,0.100645
88000,0.032,0.949,0.018,0.057950
88500,0.028,0.945,0.028,0.054613
89000,0.028,0.959,0.014,0.047980
89500,0.028,0.926,0.046,0.100820
90000,0.032,0.945,0.023,0.059886
90500,0.037,0.926,0.037,0.081340
91000,0.032,0.912,0.055,0.096091
91500,0.028,0.954,0.018,0.059936
92000,0.028,0.954,0.018,0.047952
92500,0.028,0.940,0.032,0.086075
93000,0.028,0.940,0.032,0.074852
93500,0.028,0.959,0.014,0.053722
94000,0.032,0.945,0.023,0.063865
94500,0.028,0.954,0.018,0.055229
95000,0.037,0.917,0.046,0.103107
95500,0.028,0.959,0.014,0.049482
96000,0.028,0.945,0.028,0.062938
96500,0.028,0.945,0.028,0.067370
97000,0.041,0.931,0.028,0.093382
97500,0.028,0.940,0.032,0.075768
98000,0.032,0.922,0.046,0.095104
98500,0.028,0.954,0.018,0.054539
99000,0.028,0.949,0.023,0.069796
99500,0.028,0.968,0.005,0.037697
100000,0.032,0.926,0.041,0.085886
