time,n_A+p,n_B,n_AB,avg_entropy_simp
500,0.030,0.955,0.015,0.070474
1000,0.030,0.955,0.015,0.060262
1500,0.030,0.938,0.032,0.093385
2000,0.045,0.913,0.042,0.121814
2500,0.042,0.893,0.065,0.186362
3000,0.035,0.896,0.069,0.158838
3500,0.035,0.886,0.079,0.166941
4000,0.032,0.926,0.042,0.106059
4500,0.035,0.926,0.040,0.082522
5000,0.037,0.881,0.082,0.155747
5500,0.045,0.854,0.102,0.195615
6000,0.040,0.859,0.102,0.175837
6500,0.052,0.821,0.127,0.234704
7000,0.050,0.787,0.164,0.282607
7500,0.050,0.782,0.169,0.273069
8000,0.052,0.767,0.181,0.296941
8500,0.060,0.774,0.166,0.298215
9000,0.065,0.730,0.206,0.310335
9500,0.052,0.774,0.174,0.246869
10000,0.062,0.764,0.174,0.285216
10500,0.055,0.757,0.189,0.283224
11000,0.052,0.804,0.144,0.222656
11500,0.052,0.851,0.097,0.163264
12000,0.052,0.811,0.136,0.209897
12500,0.047,0.779,0.174,0.263162
13000,0.055,0.806,0.139,0.227449
13500,0.062,0.747,0.191,0.321758
14000,0.050,0.757,0.194,0.300560
14500,0.057,0.739,0.203,0.310999
15000,0.052,0.806,0.141,0.224586
15500,0.045,0.816,0.139,0.196861
16000,0.062,0.784,0.154,0.259449
16500,0.050,0.797,0.154,0.230793
17000,0.050,0.824,0.127,0.193878
17500,0.040,0.871,0.089,0.137956
18000,0.050,0.861,0.089,0.170947
18500,0.032,0.873,0.094,0.155671
19000,0.037,0.839,0.124,0.203617
19500,0.045,0.871,0.084,0.144575
20000,0.040,0.898,0.062,0.109122
20500,0.035,0.896,0.069,0.114228
21000,0.035,0.861,0.104,0.157929
21500,0.047,0.809,0.144,0.232121
22000,0.042,0.829,0.129,0.193743
22500,0.052,0.819,0.129,0.207181
23000,0.079,0.759,0.161,0.297576
23500,0.065,0.737,0.199,0.299919
24000,0.067,0.764,0.169,0.254914
24500,0.077,0.774,0.149,0.273671
25000,0.092,0.720,0.189,0.311935
25500,0.072,0.739,0.189,0.280688
26000,0.069,0.759,0.171,0.277215
26500,0.065,0.759,0.176,0.286157
27000,0.079,0.742,0.179,0.296262
27500,0.072,0.744,0.184,0.280339
28000,0.072,0.742,0.186,0.296185
28500,0.052,0.811,0.136,0.200530
29000,0.047,0.821,0.132,0.199106
