1441	492	938
1443	267	272
1465	181	826
1489	79	181
1500	150	196
1501	21	150
1503	21	205
1503	21	150
1503	448	826
1503	765	826
1514	39	253
1514	80	253
1518	123	845
1519	118	311
1519	95	118
1519	80	95
1519	123	845
1519	95	311
1520	118	311
1520	80	118
1520	95	118
1520	123	845
1520	95	311
1521	118	311
1521	95	118
1521	95	311
1521	123	845
1522	118	311
1522	118	771
1522	95	771
1522	311	771
1522	95	118
1522	123	845
1522	95	311
1523	118	311
1523	21	205
1523	95	771
1523	95	118
1523	123	845
1523	95	311
1523	118	771
1524	118	311
1524	95	771
1524	95	118
1524	123	845
1524	95	311
1525	123	845
1526	123	845
1526	153	205
1527	123	845
1528	123	845
1528	164	311
1529	123	845
1532	21	179
1532	123	845
1536	311	481
1561	79	122
1578	39	120
1579	39	120
1581	39	120
1582	39	120
1584	39	120
1585	39	120
1592	122	448
1593	122	448
1594	122	448
1595	122	448
1595	21	150
1601	39	120
1602	39	120
1603	39	120
1604	39	120
1605	39	120
1610	39	120
1613	39	120
1614	39	120
1615	39	120
1615	21	150
1616	39	120
1617	39	120
1618	120	819
1665	431	778
1667	271	601
1670	431	778
1674	431	778
1678	431	778
1678	15	95
1683	56	194
1684	56	194
1686	194	786
1686	194	311
1687	311	786
1688	311	786
1689	194	786
1690	194	786
1690	194	311
1691	311	786
1691	194	786
1692	311	786
1693	311	786
1693	194	786
1694	194	786
1698	194	786
1698	311	786
1699	194	786
1701	95	311
1701	95	205
1702	271	601
1702	21	603
1702	205	311
1703	95	311
1704	95	311
1709	95	123
1713	205	311
1716	150	271
1717	150	271
1721	311	496
1725	21	431
1729	79	275
1729	271	601
1729	222	267
1729	50	179
1730	222	267
1731	222	267
1732	271	601
1732	222	267
1733	222	267
1734	150	601
1737	120	172
1737	271	448
1738	271	601
1739	29	271
1740	120	223
1741	271	601
1742	271	601
1743	271	601
1744	271	601
1745	271	601
1746	120	172
1746	271	601
1747	271	601
1748	271	601
1749	271	601
1750	271	601
1751	271	601
1752	271	601
1753	271	601
1757	271	601
1758	271	601
1759	271	601
1765	271	601
1778	271	601
1779	271	601
1781	116	123
1781	271	601
1782	271	601
1789	29	95
1790	123	253
1794	123	253
1799	123	253
1813	120	172
